item_id,order_id,product_id,quantity,unit_price,discount_percent
1,90,81,1,5786.63,81.3
2,157,65,6,7984.9,13.0
3,1130,75,4,2919.97,91.5
4,1274,125,4,5612.4,50.3
5,1485,37,5,6747.26,52.1
6,570,81,1,5234.27,45.4
7,910,12,7,571.79,85.5
8,54,87,4,3505.57,5.2
9,1494,15,5,6082.29,34.1
10,1473,146,2,7466.53,28.7
11,562,22,5,5990.51,92.5
12,1338,4,4,4611.55,3.9
13,76,92,2,6704.4,84.8%
14,132,113,8,3328.03,58.0
15,1344,13,3,2150.37,49.5
16,125,67,4,5507.09,86.1
17,1039,114,-5,6810.32,54.0
18,580,37,2,2673.73,37.1
19,1274,8,1,2746.39,40.8
20,1466,131,3,1285.5,59.1
21,159,58,6,4703.22,65.7
22,650,69,7,7039.99,79.8
23,237,62,4,2027.83,24.3
24,1240,59,8,2958.86,35.2
25,1381,95,8,6639.79,98.7
26,1013,51,3,2798.42,11.8
27,259,9,3,1054.23,26.3
28,262,103,-7,676.82,51.5
29,93,19,4,7189.67,89.8
30,466,47,6,5083.57,74.1
31,1480,81,2,4785.08,67.4
32,874,74,5,2449.05,34.1
33,882,133,6,7632.76,4.2
34,347,74,5,885.79,28.5
35,346,8,5,7403.68,66.6
36,1170,110,1,6412.04,0.7
37,886,127,8,2430.04,11.0
38,456,20,5,2299.78,66.9
39,79,111,6,3682.37,73.6
40,1300,3,2,2608.46,84.1
41,466,128,4,7550.98,67.3
42,1005,143,5,800.82,51.6
43,1087,47,4,5535.06,61.3
44,606,25,5,5377.01,49.0
45,238,46,4,6064.19,28.7
46,1002,106,8,2845.87,39.8
47,1383,82,-4,1799.34,85.1
48,94,79,7,3249.57,91.2
49,676,34,8,1415.63,20.6
50,130,13,1,3095.59,78.0
51,766,85,4,1340.24,53.6
52,815,125,7,7526.11,3.6
53,774,103,1,1917.04,77.2
54,42,4,3,6909.67,7.7
55,48,78,3,3189.88,83.1
56,833,144,5,7757.17,57.6
57,764,140,5,4312.31,24.5
58,637,86,2,296.65,77.1
59,290,104,3,853.57,16.9
60,309,10,8,6108.59,5.9
61,1024,81,6,6984.28,26.8
62,1433,20,4,4164.01,85.9
63,869,127,7,4207.52,12.1
64,603,70,3,1204.94,87.4
65,1464,96,6,5236.74,14.2
66,1465,122,5,2708.4,74.7
67,193,138,1,3816.9,99.3
68,1288,4,8,3802.68,15.6
69,522,144,4,6957.94,58.4
70,1203,99,4,5872.2,28.0
71,429,44,6,4877.72,96.7
72,663,20,1,821.57,80.3
73,806,97,1,3460.71,47.2
74,341,72,7,6725.33,31.7
75,714,46,3,3971.74,78.9
76,392,98,1,6188.88,34.6
77,193,95,6,184.31,44.2
78,1443,65,5,2256.92,64.7
79,1005,45,5,6604.27,86.3
80,1446,46,8,4410.14,10.4
81,569,50,3,1043.47,44.3
82,751,133,1,7207.37,89.8
83,1493,69,1,6717.96,67.0
84,7,80,2,4907.38,68.9
85,186,47,5,3783.39,83.6
86,167,64,2,7729.55,76.7
87,1446,74,5,7221.69,19.1
88,532,113,3,3370.46,83.5
89,350,10,5,2972.54,77.2
90,701,129,7,7950.67,43.4
91,382,122,5,2139.89,46.8
92,735,3,3,4553.78,65.8
93,382,6,3,5218.26,10.0
94,765,87,8,4650.13,43.5
95,863,110,8,7769.05,87.7
96,1074,51,5,325.59,51.2
97,940,102,3,7683.32,97.0
98,895,24,3,1683.21,17.2
99,808,55,4,6227.31,0.5
100,274,103,8,5679.17,76.3
101,1202,7,6,5869.94,42.5
102,816,20,4,1957.74,36.2
103,584,80,4,1768.74,43.5
104,218,120,7,2162.05,95.5
105,1039,99,2,5281.36,40.4
106,238,116,-8,5394.54,42.2
107,786,21,6,6768.93,97.2
108,891,13,-3,5689.76,25.8
109,692,76,8,3968.01,36.7
110,732,10,1,2919.39,1.8
111,939,63,7,847.12,72.7
112,1050,21,8,402.47,60.9
113,163,111,6,3437.99,2.2
114,101,96,2,7959.86,61.6
115,817,47,8,2270.82,68.9
116,1301,82,5,247.88,41.4
117,1205,108,2,2664.41,6.4
118,1022,54,6,4505.49,34.3
119,708,22,3,354.91,85.2
120,1198,43,4,2501.86,75.1
121,769,138,6,6143.03,75.1
122,326,103,3,1075.6,39.6
123,1407,82,7,7213.63,27.9
124,820,74,7,6078.94,28.6
125,857,106,1,3765.77,17.2
126,47,84,4,1194.72,62.0
127,798,142,4,5506.47,95.2
128,661,34,4,3015.61,87.5
129,363,119,5,4663.06,45.9
130,67,105,2,6989.48,90.9
131,1326,137,8,3395.01,26.0
132,819,131,1,572.31,81.2
133,347,94,8,1253.27,26.2
134,939,126,7,2020.24,48.3
135,74,36,4,5544.63,33.1
136,1163,79,3,7053.35,56.4
137,527,59,8,1320.09,80.5
138,1059,104,1,1272.07,1.2
139,994,44,8,2819.29,15.6
140,570,31,8,212.44,94.7
141,1074,59,4,7310.35,90.6
142,1102,21,4,5048.58,95.2
143,468,117,1,2033.07,79.7
144,272,134,3,4460.61,9.1
145,654,19,5,4726.85,58.1
146,20,53,4,3860.68,10.0
147,935,1,7,7103.49,77.7
148,614,68,5,3991.58,17.7
149,14,82,4,4074.19,62.6
150,1407,138,8,6107.46,67.3
151,1403,77,3,1931.24,30.7
152,322,84,4,1335.46,76.6
153,622,95,8,6260.06,26.9
154,12,104,3,6650.93,31.5
155,428,66,1,6462.43,97.5
156,1265,129,5,3477.24,38.2
157,95,100,8,2020.79,32.5
158,898,73,8,4730.3,5.9
159,1208,77,2,684.51,97.7
160,1413,6,4,2689.95,54.7
161,914,55,3,6308.62,71.1
162,48,36,3,2961.41,19.9
163,765,5,2,6467.91,79.8
164,138,20,7,6997.34,32.7
165,1250,49,2,4300.92,79.9
166,150,47,2,2287.23,45.1
167,1278,100,6,5941.72,94.9
168,1339,52,-1,1288.91,85.6
169,1093,11,6,4657.16,18.9
170,869,70,3,2686.94,31.5
171,769,7,4,2907.22,13.7
172,1209,32,8,1747.82,4.9
173,1239,92,2,4668.6,51.6
174,34,2,6,817.25,50.7
175,1336,77,7,6874.2,35.5
176,1326,83,4,5184.3,39.0
177,126,54,1,4560.18,12.8
178,1370,47,5,1344.11,17.2
179,544,83,6,1382.75,49.8
180,773,135,1,7121.68,3.4
181,851,138,3,7187.79,9.2
182,1345,139,8,5131.16,31.1
183,1055,34,6,861.55,49.3
184,379,78,3,848.83,40.4
185,672,109,6,4767.2,51.7
186,406,47,6,7483.53,3.4
187,705,49,1,6378.7,16.2
188,691,87,7,5008.37,54.6
189,1064,68,3,3950.11,54.9
190,247,141,2,300.77,54.3
191,374,102,5,3675.26,55.3
192,1153,136,4,6229.7,19.9
193,340,58,1,1920.35,94.7
194,799,134,3,3449.72,20.2
195,466,18,7,1175.35,113.3
196,802,41,1,3899.36,16.0
197,253,95,7,6691.2,7.1
198,1288,121,3,2276.22,32.7
199,1475,88,4,1086.43,74.3
200,1454,125,5,6720.02,25.5
201,1362,127,5,7981.08,60.3
202,1041,85,7,6934.82,28.0
203,454,106,7,2917.62,1.3
204,1063,98,7,6269.28,70.9
205,739,53,1,6369.44,95.4
206,77,103,7,414.93,64.7
207,59,117,7,4578.75,2.4
208,1432,68,5,2883.79,96.6
209,1024,23,3,4423.49,32.2
210,186,104,6,6460.73,96.6
211,897,93,6,6076.86,20.2
212,1147,138,3,980.7,58.2
213,540,38,3,1669.09,9.1
214,602,146,6,7377.94,10.4
215,460,57,2,6626.46,24.6
216,990,113,4,6511.05,14.5
217,793,67,7,1618.69,18.6
218,1420,35,6,3024.81,90.0
219,1040,122,6,2050.47,53.8
220,459,120,6,1899.81,34.8
221,1147,115,5,4988.57,49.7
222,517,8,1,5679.84,6.4
223,624,85,8,1153.52,39.6
224,14,14,4,7575.52,14.4
225,1232,46,6,661.01,6.4
226,1404,100,-3,5856.47,33.2
227,517,128,7,6793.4,18.3
228,1073,66,2,1890.46,98.6
229,26,2,1,4501.31,68.3
230,1272,128,6,7250.65,56.3
231,903,46,3,866.03,68.3
232,639,75,3,5014.45,93.5
233,691,117,2,4196.06,90.0
234,1006,49,7,5382.77,6.5
235,1211,26,7,7860.53,48.0
236,412,73,2,4265.97,57.5
237,1007,27,6,2414.38,62.6
238,1081,11,6,2516.59,99.2
239,1095,8,4,4741.01,90.0
240,1042,135,1,2878.95,53.8
241,656,19,3,453.29,21.4
242,595,2,4,4942.83,4.5
243,824,12,4,2712.93,17.7
244,1283,80,3,5381.41,88.2
245,389,125,4,7318.52,40.9
246,1306,30,5,3224.2,69.6
247,1465,102,2,625.35,53.7
248,178,143,5,4603.86,10.8
249,172,18,8,381.99,47.9
250,388,54,4,5932.94,44.2
251,1320,15,6,1306.41,85.9
252,52,113,7,4094.2,22.5
253,134,105,2,2373.67,16.1
254,781,1,1,7469.12,37.0
255,1329,122,1,1045.17,22.5
256,1304,117,7,3652.4,74.8
257,796,66,8,4337.99,36.0
258,465,103,3,6463.06,14.4
259,796,119,3,7540.86,42.1
260,1494,94,6,1151.61,53.0
261,1336,116,8,3324.84,64.4
262,1351,99,5,6973.88,41.2
263,1154,40,7,5582.36,38.6
264,997,81,7,1290.4,31.6
265,642,92,1,777.43,0.9
266,915,122,4,2529.74,6.6
267,1091,105,6,901.85,56.2
268,301,114,3,5628.91,28.1
269,743,113,2,3109.5,37.9
270,758,18,3,3984.96,67.2
271,1299,83,3,3209.56,14.9
272,856,44,5,756.27,60.3
273,107,62,6,2313.94,52.0
274,682,142,5,2766.39,27.3
275,779,100,1,5030.94,73.5
276,1449,88,1,3063.62,36.7
277,174,82,3,4463.82,48.9
278,486,23,-2,6120.3,24.3
279,944,85,-2,6475.19,87.0
280,188,1,2,1195.85,91.8
281,405,127,7,494.99,7.9
282,405,68,3,4775.32,86.1
283,467,42,3,1595.83,12.4
284,494,136,7,4852.28,50.7
285,21,16,1,2088.18,75.4
286,741,17,7,5757.27,1.2
287,1119,49,5,2929.09,81.1
288,826,119,4,2887.87,46.5
289,1295,39,8,6029.36,42.0
290,34,101,7,6557.5,90.5
291,467,49,8,271.28,39.2
292,218,18,8,3537.35,85.2
293,631,41,6,1217.67,51.9
294,1411,33,6,3489.08,12.2
295,641,122,6,239.91,37.0
296,469,106,5,2715.38,19.4
297,304,83,4,4550.05,89.1
298,396,71,2,7213.4,94.7
299,1151,38,3,3842.6,22.3
300,1224,31,5,2581.93,88.3
301,23,77,5,1640.05,79.9
302,303,115,5,327.69,64.4
303,929,73,7,6091.85,10.8
304,1476,97,3,233.95,5.2
305,1159,146,1,3224.75,32.7
306,1071,42,1,5766.43,13.2
307,128,135,4,2920.94,8.1
308,535,59,7,1324.37,82.3
309,477,40,4,291.38,64.3
310,1372,107,3,6072.11,67.0
311,754,131,2,1749.81,58.3
312,796,41,3,158.06,62.8
313,913,132,4,1646.6,89.8
314,612,55,7,3160.87,10.7
315,635,4,5,5046.33,56.7
316,1233,43,4,1730.19,94.7
317,1,8,8,6380.53,66.7
318,110,95,1,7448.26,30.3
319,72,31,4,5960.59,37.3
320,1397,8,5,7464.74,98.3
321,47,145,8,5825.99,45.5
322,954,106,8,1802.26,39.8
323,982,52,3,447.87,6.3
324,1154,112,-5,6988.73,23.5
325,1116,42,8,5965.96,28.7
326,823,96,6,4453.09,14.6
327,885,23,8,1266.3,67.3
328,88,88,5,2933.48,46.7
329,422,102,3,6672.9,15.9
330,1128,43,2,7924.98,54.4
331,1072,101,4,3964.52,32.5
332,1422,49,4,5533.63,98.8
333,832,78,1,6419.49,49.5
334,1394,19,4,6534.51,2.4
335,795,96,2,3433.15,35.8
336,1024,82,4,7364.49,63.5
337,1271,90,6,6903.28,38.4
338,503,25,8,7705.87,75.9
339,925,56,8,4868.51,46.9
340,372,119,7,4788.09,67.5
341,1006,45,5,7407.35,65.4
342,408,124,8,2393.26,33.1
343,458,88,8,5981.79,65.4
344,1240,145,8,5636.16,91.2
345,218,108,1,5621.48,2.1
346,973,103,8,5646.18,6.7
347,1119,96,4,1055.99,16.2
348,616,35,5,5284.48,58.2
349,281,82,-7,6325.89,11.3%
350,1298,139,4,1590.47,47.5
351,1160,43,2,4127.96,86.1
352,88,83,4,5042.43,93.8
353,261,123,-7,7453.16,39.1
354,64,107,7,1342.55,59.9
355,1332,88,2,6238.68,77.3
356,1410,81,5,7362.68,85.5
357,550,70,3,3968.44,34.2
358,393,86,5,7421.88,32.4
359,1410,76,7,5390.51,18.8
360,1484,75,4,4387.93,32.1
361,992,70,4,6660.08,18.3
362,7,18,8,4887.27,25.3
363,862,51,4,4010.94,93.5
364,371,32,5,7855.4,59.5
365,197,109,6,424.17,7.0
366,493,60,4,573.05,11.1
367,649,57,4,2207.21,55.3
368,553,125,3,1704.82,61.6
369,220,1,2,1845.69,46.0
370,837,114,4,6901.07,85.0
371,1379,126,8,6819.63,75.1
372,764,37,7,2644.43,49.9
373,510,75,2,3083.55,78.8
374,1461,6,4,7689.18,68.6
375,714,59,7,261.9,43.6
376,401,10,5,3880.39,16.9
377,163,135,7,810.78,91.6
378,1067,18,5,6882.15,27.9
379,591,141,4,4623.61,78.3
380,208,69,8,1966.34,80.8
381,18,84,3,4472.17,36.9
382,320,34,3,263.67,50.5
383,509,42,4,4633.53,27.9
384,1109,104,1,104.53,46.1
385,1073,105,8,2896.09,60.6
386,1238,106,3,6458.23,20.7
387,302,116,7,2584.91,19.9
388,956,120,3,2031.49,1.6
389,606,96,6,3384.82,5.1
390,1130,123,1,7107.67,87.2
391,208,38,1,3887.72,35.2
392,711,84,5,5082.33,37.1
393,1365,141,5,4726.41,88.4
394,295,37,2,6615.23,33.0
395,1166,50,4,3215.76,4.2
396,335,10,7,3472.6,56.8
397,1371,118,5,1830.85,91.5
398,678,84,6,6819.69,95.6
399,46,112,3,4759.26,68.3
400,528,28,8,2474.49,97.3
401,1111,130,3,1829.73,95.6
402,1358,17,6,4575.93,29.9
403,759,31,6,3306.81,43.2
404,587,63,5,3985.7,95.8
405,308,139,3,4788.22,85.3
406,364,9,7,7763.48,80.8%
407,339,80,3,5462.04,91.8
408,1005,28,6,750.53,146.2
409,533,41,5,4256.09,83.2
410,927,92,2,2341.21,39.3
411,669,54,5,3268.64,80.7
412,259,39,4,390.7,5.9
413,1369,142,2,2627.61,23.9
414,65,65,5,3838.5,3.4
415,670,109,7,5300.8,39.7
416,191,125,6,6958.26,18.4
417,856,10,6,1996.18,60.4
418,433,38,1,6421.65,124.7
419,1254,51,6,5978.01,27.3
420,935,12,7,411.46,96.4
421,1247,147,5,5053.64,79.2
422,1369,53,4,1860.91,26.5
423,98,20,0,1910.84,22.2%
424,628,14,5,7525.34,1.6
425,1149,85,8,5324.18,28.8
426,266,67,3,5512.16,8.0
427,592,80,3,3383.05,90.6
428,554,46,2,1059.38,93.7
429,1259,72,2,4053.66,83.5
430,1271,23,2,1493.55,80.7
431,720,8,2,4224.48,69.0
432,1272,124,6,3515.97,80.7
433,660,95,2,6692.64,93.4
434,694,107,4,1585.84,57.1
435,279,122,1,773.28,84.3
436,504,80,8,6116.51,12.0
437,778,40,7,533.81,30.0
438,47,7,5,687.74,53.1
439,195,68,5,6969.09,93.1
440,1127,139,6,4653.65,58.2
441,827,11,2,4661.16,69.0
442,1205,2,5,5297.39,26.9
443,508,21,2,6495.05,40.6
444,1451,33,6,4595.22,86.7
445,1182,49,3,5491.34,23.9
446,829,106,8,1766.96,66.7
447,1020,1,7,2067.34,85.6
448,1375,64,2,2098.2,12.8
449,567,29,3,2074.97,4.7
450,1484,32,1,6656.77,1.4
451,424,100,6,5310.21,68.0
452,7,111,6,7579.44,24.3
453,589,37,8,6686.15,74.8
454,1320,58,5,208.76,78.6
455,274,5,8,6731.8,96.4
456,760,134,4,7893.3,55.2
457,220,62,5,5300.52,79.9
458,375,128,5,7665.66,93.1
459,384,28,1,6171.1,77.0
460,1233,145,5,5598.61,27.2
461,494,137,6,1650.52,24.5
462,90,53,6,4543.24,69.0
463,440,56,8,673.57,68.1
464,429,24,6,7353.81,40.9
465,494,12,6,838.73,25.0
466,444,106,8,5292.65,69.6
467,1140,43,6,1911.7,135.1
468,93,46,1,4616.46,66.7
469,1487,53,4,2430.5,6.1
470,971,97,6,2466.79,68.7
471,150,40,1,1483.26,84.3
472,1212,95,7,6519.54,26.6
473,1252,114,6,7978.02,53.3
474,1097,120,5,7417.08,79.8
475,232,144,2,5586.69,90.1
476,259,62,8,5728.35,81.7
477,532,67,1,7086.93,24.1
478,1432,23,6,447.75,49.1
479,566,87,3,5795.27,54.7
480,661,43,1,315.84,66.5
481,1292,7,2,7629.4,9.8
482,327,22,3,5410.21,79.5
483,592,129,3,3866.55,49.1
484,504,97,1,4106.44,46.7
485,846,39,6,5818.8,27.5
486,1495,11,5,3019.57,4.9
487,35,135,1,1742.54,41.0
488,1139,136,3,6435.75,92.8
489,510,133,1,7701.0,64.4
490,1427,103,4,4273.74,6.4
491,860,34,5,5196.97,66.7
492,84,100,6,3504.02,10.4
493,383,104,5,1337.71,94.6
494,1370,22,4,4393.41,18.7
495,47,58,8,2310.32,29.1
496,954,16,2,4057.66,17.8
497,728,50,6,554.44,85.3
498,1457,117,5,1065.23,72.8
499,406,127,8,4400.59,60.6
500,172,130,4,7995.6,3.9
501,1075,3,8,3175.79,46.2
502,1126,33,1,309.9,81.1
503,246,107,1,3830.96,70.3
504,1237,19,1,3194.92,61.0
505,703,7,2,4642.72,10.9
506,151,62,3,1447.75,72.3
507,267,134,8,706.28,25.5
508,878,112,7,2998.0,2.1
509,114,134,1,5996.11,42.7
510,149,83,4,4898.68,81.8
511,376,112,4,1826.97,89.7
512,541,75,2,3453.34,56.1
513,487,123,1,4480.79,79.4
514,1416,5,3,5196.57,61.5
515,1464,116,1,4688.66,6.5
516,1173,97,5,6074.13,70.6
517,184,134,5,6100.01,74.6
518,603,6,5,4676.31,63.7
519,457,76,5,6868.99,95.3
520,1143,122,3,4554.93,96.1
521,634,144,3,6133.95,97.2
522,284,144,4,5394.16,60.2
523,292,145,1,6641.31,89.7
524,890,69,7,6806.88,14.7
525,987,110,2,3088.54,40.7
526,247,65,2,1251.17,19.0
527,84,8,4,1276.72,58.8
528,129,15,3,151.46,85.2
529,53,13,2,4080.8,7.5
530,112,117,2,5221.45,8.0
531,104,95,7,4222.28,87.2
532,920,36,4,7176.18,44.1
533,1008,122,7,1127.23,13.7
534,1074,137,7,4566.83,93.2
535,1465,44,5,1701.06,23.2
536,337,27,4,958.83,54.5
537,272,120,0,989.7,75.0
538,629,68,8,3070.25,19.0
539,194,111,1,4672.57,4.8
540,291,119,5,3668.74,68.2
541,1207,138,8,1574.52,1.4
542,1007,113,3,4203.45,97.4
543,1114,82,4,1929.87,82.3
544,1473,110,-7,6027.14,96.0
545,830,133,7,3683.23,70.0
546,459,90,3,6139.83,37.6
547,917,27,6,3207.52,87.3
548,671,146,5,675.61,65.1
549,1277,139,7,7643.64,55.8
550,1240,59,5,7629.39,12.7
551,692,132,7,5562.11,50.7
552,1424,113,2,3669.72,54.6
553,1345,48,2,7172.05,40.2
554,945,127,1,3105.54,7.8
555,266,82,8,5026.77,91.5
556,1398,61,4,6345.17,53.2
557,1269,85,6,336.19,89.5
558,768,69,8,1086.12,28.0
559,381,64,5,3739.42,39.4
560,1119,147,3,6789.27,79.0
561,990,46,2,728.89,68.1
562,1246,95,6,1457.67,94.6
563,1003,133,2,4085.4,56.0
564,536,58,5,4513.61,1.6
565,232,124,1,1047.82,67.5
566,746,54,8,6680.89,33.4
567,750,55,7,3684.05,32.7
568,1272,69,7,4243.75,23.8
569,936,99,3,961.93,95.0
570,740,34,2,4535.74,60.5%
571,877,107,4,6865.98,34.8
572,344,36,1,4710.18,41.6
573,865,94,8,7866.92,89.3
574,170,110,6,2375.46,50.2
575,1201,60,-6,149.43,3.9
576,142,54,2,7031.24,88.3
577,582,78,1,4222.12,63.3
578,1414,57,5,3126.23,58.6
579,751,132,7,3584.4,94.9%
580,217,35,3,7602.65,7.0
581,121,97,4,4891.98,87.9
582,1091,43,1,3381.41,49.0
583,534,93,8,5354.74,17.7
584,1372,117,5,6915.63,94.2
585,248,121,7,5863.49,39.2
586,382,8,3,1666.74,78.7
587,207,110,6,7646.02,91.0
588,1338,94,6,5158.82,23.6
589,1485,119,4,4367.29,32.0
590,1021,30,8,2389.76,94.2
591,679,64,3,6798.76,129.0
592,1144,133,8,5778.24,21.4
593,1488,14,4,5434.24,97.2
594,1063,129,4,2195.96,55.4
595,1306,137,8,5945.85,70.5
596,619,61,7,7388.12,79.0
597,334,54,7,6855.97,57.4
598,50,24,-2,4659.79,77.9
599,1181,107,5,6956.07,51.1
600,1499,39,8,4048.94,60.9
601,110,30,2,5525.61,70.0
602,279,88,2,925.59,91.3
603,691,54,8,5021.49,73.0
604,578,46,1,7027.29,81.1
605,1181,84,2,4511.25,39.5
606,717,98,3,1117.58,84.0
607,1423,95,2,109.77,93.1
608,1126,84,8,1908.02,45.4
609,320,7,6,1129.64,84.6
610,124,43,3,3437.43,36.2
611,577,136,1,774.45,42.6
612,1455,74,2,6926.04,82.8
613,1311,116,1,4967.48,90.8
614,584,109,6,5020.96,37.1
615,91,143,3,6748.47,13.7%
616,1135,59,1,4162.05,3.9
617,200,94,2,7551.36,48.9
618,1042,11,8,6960.62,10.8
619,740,136,7,3749.37,22.9
620,715,137,5,3264.88,11.4
621,1375,52,6,4809.67,49.6
622,305,21,7,7516.05,92.2
623,826,107,6,6662.47,69.9
624,995,120,7,5052.02,2.5
625,1465,145,2,6017.28,26.3
626,1247,129,5,5374.91,70.8
627,1010,58,1,6658.03,82.2
628,842,98,2,5512.73,81.4
629,661,112,2,7625.12,48.5
630,1251,115,3,4171.57,59.1
631,439,120,1,2186.5,88.3
632,1363,8,1,4370.35,17.2
633,1260,147,5,7498.45,94.4
634,1204,75,8,759.66,44.4
635,247,116,1,7767.01,92.8
636,1105,45,6,1941.79,98.3
637,387,98,1,469.9,47.4
638,1210,70,2,6140.42,66.8
639,1373,123,3,7240.11,15.0
640,231,91,1,1911.76,11.8
641,1144,58,7,5174.38,17.7
642,816,47,6,6254.34,46.0
643,510,68,5,7417.19,70.2
644,292,41,-7,2567.91,6.5
645,455,69,6,5079.5,27.5
646,1080,114,7,4951.23,88.0
647,1485,64,2,600.94,30.0
648,477,55,6,5156.77,16.3
649,194,103,8,2799.66,98.1
650,537,32,6,7289.08,36.0
651,130,121,2,6997.03,69.7
652,1120,11,8,616.14,51.6
653,215,58,1,4454.11,9.7
654,510,53,6,5050.06,94.7
655,671,88,7,2561.76,50.7
656,1408,123,5,489.47,12.4
657,1492,16,6,7124.32,4.4
658,1453,33,4,6193.21,80.8
659,1334,147,2,3041.87,5.6
660,1398,71,5,7773.07,25.0
661,645,109,7,2682.31,43.6
662,453,50,6,4346.39,2.9
663,1298,48,1,6279.62,25.8
664,19,109,7,956.35,63.3
665,980,122,3,1302.03,18.1
666,205,24,5,4944.86,39.0
667,13,138,6,6540.76,25.1
668,163,45,1,7857.63,48.1
669,539,43,6,207.6,80.2
670,981,88,7,7364.22,5.3
671,1302,44,4,5863.02,86.6
672,665,65,6,1481.14,12.8
673,585,120,6,2220.0,3.1
674,917,74,6,6779.53,7.7
675,498,76,8,6543.23,8.5
676,973,91,3,6954.12,55.5
677,674,50,1,6789.68,60.7
