order_id,customer_id,order_date,status,region_code
1,150,19-09-2026,DELIVERED,CENTRAL
2,157,2026-09-29 00:00:00,SHIPPED,CENTRAL
3,346,2024-01-17 17:28:44,CANCELLED,WEST
4,361,2024-12-16 20:57:01,DELIVERED,WEST
5,556,2023-10-13 21:47:53,RETURNED,CENTRAL
6,77,2023-02-22 13:02:27,DELIVERED,NORTH
7,237,02-10-2024,SHIPPED,SOUTH
8,62,2025-02-24 15:05:23,DELIVERED,CENTRAL
9,17,20-01-2025,DELIVERED,NORTH
10,282,2023-01-26 23:35:45,SHIPPED,CENTRAL
11,184,2025-12-20 02:04:19,PLACED,SOUTH
12,540,2024-01-10 07:58:09,DELIVERED,WEST
13,416,2023-05-03 18:03:03,SHIPPED,SOUTH
14,83,2024-04-10 23:51:54,CANCELLED,NORTH
15,387,2023-05-26 05:57:05,PLACED,NORTH
16,512,2025-12-27 19:57:59,DELIVERED,EAST
17,98,2025-05-29 00:39:50,RETURNED,SOUTH
18,581,2023-11-25 10:11:56,PLACED,NORTH
19,557,2025-11-29 05:21:10,PLACED,EAST
20,148,2023-01-25 07:46:33,DELIVERED,WEST
21,578,2023-04-30 12:26:15,CANCELLED,WEST
22,340,2025-11-17 17:41:34,DELIVERED,NORTH
23,355,16-02-2025,DELIVERED,NORTH
24,407,2024-06-13 02:13:04,SHIPPED,EAST
25,365,2024-11-30 21:43:43,DELIVERED,SOUTH
26,390,2025-11-21 20:51:39,DELIVERED,SOUTH
27,158,2023-04-25 04:31:40,DELIVERED,SOUTH
28,110,2024-08-28 06:09:36,RETURNED,WEST
29,105,2024-07-13 02:41:48,SHIPPED,WEST
30,418,2025-05-15 05:54:25,PLACED,CENTRAL
31,333,2023-05-25 13:41:13,PLACED,WEST
32,573,2024-08-25 10:12:55,RETURNED,CENTRAL
33,390,2025-03-20 12:11:06,SHIPPED,EAST
34,172,2025-02-05 00:59:35,DELIVERED,WEST
35,253,2023-04-30 11:50:10,DELIVERED,CENTRAL
36,139,2023-10-31 18:33:58,RETURNED,EAST
37,338,2025-08-21 10:26:26,DELIVERED,CENTRAL
38,206,2023-07-31 11:05:17,SHIPPED,WEST
39,503,2024-05-10 18:18:52,DELIVERED,EAST
40,403,2024-08-07 04:21:28,RETURNED,SOUTH
41,185,2025-07-08 23:49:26,DELIVERED,WEST
42,299,2023-11-22 16:15:31,PLACED,WEST
43,311,2025-11-11 10:25:31,DELIVERED,WEST
44,491,2024-08-08 15:14:11,DELIVERED,WEST
45,,2025-04-24 12:33:44,DELIVERED,CENTRAL
46,88,2025-07-11 11:12:43,SHIPPED,EAST
47,46,2023-09-16 09:32:54,DELIVERED,WEST
48,441,2024-05-30 02:49:15,PLACED,SOUTH
49,572,2025-03-04 07:23:24,DELIVERED,WEST
50,513,2024-08-04 04:11:18,RETURNED,WEST
51,88,2023-06-12 09:52:57,RETURNED,SOUTH
52,467,2024-06-25 02:38:00,DELIVERED,EAST
53,464,2025-01-09 16:37:33,SHIPPED,NORTH
54,112,2023-02-05 02:02:02,SHIPPED,SOUTH
55,164,2025-03-12 13:38:49,DELIVERED,WEST
56,189,2023-12-27 04:12:04,DELIVERED,WEST
57,203,2023-02-15 08:22:00,DELIVERED,NORTH
58,286,2025-12-30 18:26:53,CANCELLED,NORTH
59,550,2025-06-15 21:05:24,SHIPPED,WEST
60,502,2023-06-27 00:32:57,DELIVERED,CENTRAL
61,117,2024-08-26 17:31:18,CANCELLED,CENTRAL
62,305,2023-09-26 00:17:30,DELIVERED,SOUTH
63,313,2024-05-01 12:24:39,DELIVERED,SOUTH
64,142,2025-03-04 12:55:53,DELIVERED,WEST
65,178,2025-09-14 05:13:06,DELIVERED,SOUTH
66,462,2023-10-18 15:32:26,CANCELLED,NORTH
67,394,2025-01-22 19:31:48,DELIVERED,WEST
68,426,2024-09-27 13:38:02,DELIVERED,SOUTH
69,226,2023-05-09 10:11:03,SHIPPED,CENTRAL
70,469,2024-03-24 10:24:33,DELIVERED,WEST
71,587,2025-05-03 23:16:39,DELIVERED,EAST
72,43,2025-04-22 00:50:30,DELIVERED,SOUTH
73,254,2024-10-22 10:54:56,RETURNED,WEST
74,90,2024-02-13 06:27:42,RETURNED,SOUTH
75,360,2023-11-23 00:49:30,DELIVERED,WEST
76,212,2023-09-15 20:14:35,CANCELLED,CENTRAL
77,552,2024-06-28 23:20:56,RETURNED,EAST
78,527,2024-03-25 11:07:30,DELIVERED,NORTH
79,422,2023-07-30 15:07:14,RETURNED,SOUTH
80,256,2025-12-25 15:04:34,SHIPPED,SOUTH
81,146,2025-11-16 11:51:05,SHIPPED,WEST
82,96,2024-08-05 19:26:17,DELIVERED,EAST
83,336,2024-12-07 08:16:56,CANCELLED,NORTH
84,367,2024-12-13 04:13:37,DELIVERED,WEST
85,217,2023-12-05 09:17:18,SHIPPED,EAST
86,134,2024-06-08 16:25:29,DELIVERED,EAST
87,48,2025-11-26 07:22:48,DELIVERED,WEST
88,162,2023-01-26 07:00:46,PLACED,WEST
89,136,2023-11-11 06:58:09,SHIPPED,EAST
90,257,2023-05-25 23:58:00,DELIVERED,SOUTH
91,313,2023-03-22 10:46:10,DELIVERED,WEST
92,98,15-10-2025,DELIVERED,SOUTH
93,456,11-07-2025,DELIVERED,NORTH
94,490,18-10-2024,DELIVERED,NORTH
95,307,2023-06-10 07:37:55,DELIVERED,SOUTH
96,147,23-09-2025,DELIVERED,CENTRAL
97,360,2025-10-06 18:30:36,DELIVERED,SOUTH
98,454,2024-10-01 13:39:26,PLACED,NORTH
99,394,2023-08-06 12:04:05,DELIVERED,SOUTH
100,87,2024-01-20 22:08:44,DELIVERED,CENTRAL
101,28,2024-03-18 14:37:03,DELIVERED,EAST
102,522,2023-11-16 03:34:17,DELIVERED,NORTH
103,116,2024-01-07 19:16:55,DELIVERED,NORTH
104,13,2025-03-31 15:56:53,RETURNED,SOUTH
105,583,2024-08-23 22:22:30,DELIVERED,SOUTH
106,75,01-01-2025,PLACED,EAST
107,,02-12-2023,DELIVERED,CENTRAL
108,514,2024-03-21 01:02:21,DELIVERED,WEST
109,551,2023-05-09 01:07:53,SHIPPED,EAST
110,209,2023-05-03 18:08:14,SHIPPED,EAST
111,68,2024-08-29 23:31:34,DELIVERED,SOUTH
112,445,2023-03-31 22:53:24,DELIVERED,NORTH
113,180,2024-04-25 11:10:09,DELIVERED,NORTH
114,356,2023-09-12 12:07:23,DELIVERED,EAST
115,276,2023-09-17 08:49:48,PLACED,NORTH
116,279,2024-06-04 10:06:58,SHIPPED,CENTRAL
117,467,2025-09-01 20:07:11,PLACED,CENTRAL
118,262,2023-09-17 05:47:21,CANCELLED,NORTH
119,3,21-12-2023,CANCELLED,SOUTH
120,393,2023-03-13 10:18:56,SHIPPED,NORTH
121,430,2025-05-08 20:17:35,SHIPPED,EAST
122,586,2024-02-26 09:13:46,DELIVERED,NORTH
123,529,2023-10-06 14:26:31,RETURNED,NORTH
124,319,2024-12-23 11:58:03,DELIVERED,NORTH
125,578,2024-07-27 02:18:38,DELIVERED,SOUTH
126,506,2024-12-21 16:26:26,DELIVERED,CENTRAL
127,420,16-01-2024,DELIVERED,NORTH
128,,2024-06-04 10:21:10,CANCELLED,EAST
129,244,2023-06-11 11:30:01,RETURNED,SOUTH
130,238,2024-03-10 16:38:32,DELIVERED,EAST
131,87,2024-12-13 04:33:14,DELIVERED,WEST
132,64,2023-04-27 05:52:57,RETURNED,SOUTH
133,323,2024-03-29 02:28:13,DELIVERED,EAST
134,240,09-05-2024,SHIPPED,CENTRAL
135,169,2023-06-19 06:48:06,SHIPPED,NORTH
136,213,2025-04-12 12:42:55,DELIVERED,NORTH
137,312,2023-05-21 11:08:06,DELIVERED,NORTH
138,336,2023-12-01 00:33:21,DELIVERED,EAST
139,307,2024-09-07 13:03:51,RETURNED,NORTH
140,570,2024-09-20 04:50:05,SHIPPED,WEST
141,144,2023-06-08 07:22:52,PLACED,SOUTH
142,411,2023-07-23 01:25:02,DELIVERED,NORTH
143,77,23-06-2025,PLACED,WEST
144,340,2023-07-20 01:41:49,RETURNED,NORTH
145,444,2023-09-18 23:05:29,DELIVERED,NORTH
146,177,2024-08-17 13:11:15,RETURNED,EAST
147,153,10-03-2024,DELIVERED,SOUTH
148,422,2025-10-02 12:17:16,DELIVERED,NORTH
149,430,2024-03-10 14:48:17,CANCELLED,CENTRAL
150,557,2024-01-23 00:54:05,RETURNED,EAST
151,497,2025-01-15 03:55:55,DELIVERED,EAST
152,27,2024-08-26 07:54:12,SHIPPED,EAST
153,484,2023-04-02 00:26:21,DELIVERED,SOUTH
154,247,2023-09-05 23:14:39,CANCELLED,NORTH
155,398,2023-12-07 20:15:24,CANCELLED,SOUTH
156,326,2023-10-01 13:29:51,DELIVERED,CENTRAL
157,361,2023-02-13 19:37:01,DELIVERED,CENTRAL
158,505,2023-10-20 09:51:34,SHIPPED,NORTH
159,225,21-05-2023,DELIVERED,EAST
160,134,2025-08-12 00:36:13,SHIPPED,EAST
161,,2023-04-03 12:24:26,RETURNED,NORTH
162,75,2025-03-28 13:41:42,RETURNED,WEST
163,310,2025-06-29 08:17:05,RETURNED,WEST
164,325,2025-09-20 01:33:48,RETURNED,CENTRAL
165,180,2024-07-08 07:25:14,DELIVERED,EAST
166,2,2023-07-17 19:53:28,RETURNED,WEST
167,,2025-05-31 13:17:26,RETURNED,CENTRAL
168,107,2023-12-10 03:34:18,PLACED,NORTH
169,328,2024-01-05 17:07:52,CANCELLED,NORTH
170,344,2025-11-06 20:19:35,SHIPPED,SOUTH
171,263,2025-12-12 19:28:38,DELIVERED,NORTH
172,430,2024-08-22 12:46:40,CANCELLED,WEST
173,385,2024-08-11 07:25:41,DELIVERED,CENTRAL
174,231,2025-10-08 05:54:15,PLACED,NORTH
175,,2024-04-03 02:59:24,PLACED,EAST
176,165,2023-09-22 05:58:53,DELIVERED,NORTH
177,495,2024-06-08 23:42:39,DELIVERED,SOUTH
178,161,01-08-2025,SHIPPED,SOUTH
179,554,2024-09-27 19:03:33,SHIPPED,SOUTH
180,,2023-05-30 00:00:17,CANCELLED,SOUTH
181,438,2023-03-26 16:05:17,CANCELLED,CENTRAL
182,27,2025-01-16 03:56:26,DELIVERED,NORTH
183,316,2025-01-05 15:59:36,DELIVERED,EAST
184,397,2023-05-22 13:49:44,CANCELLED,EAST
185,270,2023-10-17 20:18:58,SHIPPED,EAST
186,100,2025-05-26 12:38:15,SHIPPED,CENTRAL
187,233,2024-10-05 02:32:27,CANCELLED,CENTRAL
188,487,2024-10-12 07:44:05,SHIPPED,EAST
189,36,2023-05-03 15:39:27,RETURNED,CENTRAL
190,151,2025-11-18 12:19:52,DELIVERED,SOUTH
191,198,2023-09-17 16:21:17,DELIVERED,WEST
192,152,2023-11-10 16:05:46,SHIPPED,NORTH
193,407,2023-05-16 04:37:05,CANCELLED,CENTRAL
194,13,2024-12-12 17:20:15,DELIVERED,CENTRAL
195,154,2024-10-13 19:35:31,DELIVERED,NORTH
196,104,2023-06-14 02:21:05,CANCELLED,EAST
197,498,2024-09-30 07:05:27,DELIVERED,SOUTH
198,412,03-03-2024,CANCELLED,EAST
199,487,2025-12-08 16:13:07,CANCELLED,NORTH
200,311,2024-06-08 20:33:37,CANCELLED,NORTH
201,454,2023-12-21 02:52:06,SHIPPED,WEST
202,193,2025-07-28 19:15:24,RETURNED,WEST
203,383,2025-01-22 13:59:24,DELIVERED,SOUTH
204,519,2023-04-12 22:22:40,DELIVERED,CENTRAL
205,,2025-06-02 09:38:24,CANCELLED,NORTH
206,,23-01-2024,DELIVERED,SOUTH
207,476,2024-03-01 14:37:17,DELIVERED,NORTH
208,,2025-11-24 04:01:15,DELIVERED,SOUTH
209,359,2025-01-07 05:42:36,CANCELLED,EAST
210,29,2025-12-06 02:12:34,SHIPPED,CENTRAL
211,231,2023-11-29 22:22:33,SHIPPED,WEST
212,,2025-03-08 08:30:41,DELIVERED,NORTH
213,178,2025-01-06 11:37:29,PLACED,EAST
214,313,2025-08-03 00:42:13,DELIVERED,EAST
215,358,2024-10-20 08:39:45,SHIPPED,EAST
216,407,2025-11-17 23:42:09,PLACED,EAST
217,290,2025-05-22 04:38:18,PLACED,NORTH
218,333,2024-06-06 09:33:47,SHIPPED,EAST
219,247,2023-10-20 14:34:22,CANCELLED,CENTRAL
220,144,2024-09-19 17:52:52,DELIVERED,EAST
221,415,2024-02-08 00:06:44,PLACED,CENTRAL
222,228,2023-10-23 00:33:01,DELIVERED,WEST
223,308,2025-11-09 17:04:20,CANCELLED,CENTRAL
224,483,2023-10-09 09:14:03,SHIPPED,CENTRAL
225,344,2023-10-12 09:16:58,SHIPPED,SOUTH
226,340,2024-04-22 00:58:07,DELIVERED,WEST
227,598,2023-07-02 23:12:41,DELIVERED,WEST
228,391,2023-10-30 05:07:07,DELIVERED,SOUTH
229,351,2023-08-02 09:20:52,DELIVERED,WEST
230,185,2023-08-11 11:47:00,DELIVERED,SOUTH
231,5,2024-05-01 20:55:24,SHIPPED,SOUTH
232,502,2025-06-14 05:14:06,DELIVERED,SOUTH
233,440,2025-08-12 13:27:54,RETURNED,WEST
234,,2023-01-08 06:04:41,DELIVERED,NORTH
235,544,2024-05-15 12:58:34,DELIVERED,SOUTH
236,353,2023-12-18 11:47:49,PLACED,CENTRAL
237,67,2025-07-03 11:14:02,SHIPPED,EAST
238,537,2024-12-09 06:09:53,CANCELLED,SOUTH
239,502,2024-06-16 10:00:22,SHIPPED,WEST
240,135,2023-01-30 17:01:18,PLACED,CENTRAL
241,39,2023-09-20 12:12:28,DELIVERED,CENTRAL
242,,2025-08-26 00:08:54,DELIVERED,NORTH
243,427,2023-03-16 22:19:59,PLACED,EAST
244,211,2025-01-06 22:46:38,DELIVERED,EAST
245,533,2024-10-15 19:13:30,DELIVERED,SOUTH
246,108,2024-10-12 14:57:20,DELIVERED,EAST
247,510,2023-06-27 02:41:45,SHIPPED,EAST
248,367,2025-03-23 16:18:01,SHIPPED,NORTH
249,213,2025-05-01 12:05:39,DELIVERED,SOUTH
