
=== RETENTION REPORT ===

| Cohort Month   |   Month Index |   Active |   Cohort Size |   Retention % |
|----------------|---------------|----------|---------------|---------------|
| 2023-01        |             0 |       48 |            48 |        100.00 |
| 2023-01        |             1 |        2 |            48 |          4.17 |
| 2023-01        |             2 |        3 |            48 |          6.25 |
| 2023-01        |             3 |        4 |            48 |          8.33 |
| 2023-02        |             0 |       23 |            23 |        100.00 |
| 2023-02        |             1 |        1 |            23 |          4.35 |
| 2023-03        |             0 |       26 |            26 |        100.00 |
| 2023-03        |             1 |        1 |            26 |          3.85 |
| 2023-03        |             2 |        3 |            26 |         11.54 |
| 2023-03        |             3 |        3 |            26 |         11.54 |
| 2023-04        |             0 |       36 |            36 |        100.00 |
| 2023-04        |             1 |        3 |            36 |          8.33 |
| 2023-04        |             2 |        2 |            36 |          5.56 |
| 2023-04        |             3 |        1 |            36 |          2.78 |
| 2023-05        |             0 |       33 |            33 |        100.00 |
| 2023-05        |             1 |        2 |            33 |          6.06 |
| 2023-05        |             2 |        2 |            33 |          6.06 |
| 2023-05        |             3 |        2 |            33 |          6.06 |
| 2023-06        |             0 |       30 |            30 |        100.00 |
| 2023-06        |             1 |        2 |            30 |          6.67 |

