
=== REVENUE REPORT ===

| Month   |      Revenue |
|---------|--------------|
| 2023-01 |   984,520.09 |
| 2023-02 |   679,837.23 |
| 2023-03 |   822,053.93 |
| 2023-04 |   915,165.33 |
| 2023-05 | 1,091,448.21 |
| 2023-06 | 1,285,918.63 |
| 2023-07 | 1,083,394.36 |
| 2023-08 |   713,915.74 |
| 2023-09 |   732,428.40 |
| 2023-10 |   935,063.02 |
| 2023-11 |   896,136.94 |
| 2023-12 |   596,047.72 |
| 2024-01 |   862,715.43 |
| 2024-02 |   969,913.08 |
| 2024-03 | 1,304,756.41 |
| 2024-04 |   833,908.87 |
| 2024-05 |   778,256.68 |
| 2024-06 |   727,142.27 |
| 2024-07 |   613,993.79 |
| 2024-08 |   914,924.80 |
| 2024-09 |   606,801.35 |
| 2024-10 | 1,188,381.42 |
| 2024-11 |   739,475.74 |
| 2024-12 |   833,701.08 |
| 2025-01 | 1,243,297.41 |
| 2025-02 |   981,971.11 |
| 2025-03 |   895,232.99 |
| 2025-04 |   366,082.42 |
| 2025-05 |   937,551.66 |
| 2025-06 |   606,434.58 |
| 2025-07 |   966,149.98 |
| 2025-08 |   523,049.08 |
| 2025-09 |   779,067.37 |
| 2025-10 |   963,266.83 |
| 2025-11 |   963,991.17 |
| 2025-12 |   862,552.56 |
| 2026-09 |    43,742.59 |

